"senecio",,"recepcion","Perfecto, gracias *Senecio coge la llave y cruza el vestibulo* "
,,"vestibulo","Senecio se aventura por los pasillos del hotel palaciego. Las paredes, revestidas con tapices que cuentan historias de épocas pasadas, parecen observar en silencio cada paso que da."
,,"vestibulo","Los patrones en las alfombras bajo sus pies guían su camino a través de este laberinto de elegancia."
,,"vestibulo","Cada puerta que pasa parece contener un universo propio, lleno de misterios y promesas."
,,"vestibulo","La numeración de las habitaciones delicadamente grabada en placas de bronce, guía a Senecio."
,,"vestibulo","A medida que avanza, el aroma sutil de las velas perfumadas que adornan los pasillos se mezcla con la fragancia fresca de las flores que decoran pequeñas mesas auxiliares."
,,"vestibulo","Las risas distantes y las conversaciones apagadas de otros huéspedes se mezclan con el suave crepitar de las velas, creando una sinfonía única que acompaña su travesía."
,,"vestibulo","En su imaginación, visualiza el momento en que girará la llave en la cerradura, y la puerta se abrirá para revelar a Dahlia, con una sonrisa radiante y los ojos llenos de amor."
,,"vestibulo","La incertidumbre sobre su llegada se desvanece momentáneamente en los destellos dorados que danzan en los pasillos, y Senecio se permite perderse en la esperanza de ese encuentro."
,,"habitacion","Con el corazón latiendo con la mezcla de nerviosismo y expectación, Senecio llega finalmente a la puerta de su habitación. "
,,"habitacion","Siente el frío metal en sus dedos mientras inserta la llave en la cerradura, un gesto que desencadenará el momento que ha imaginado durante el trayecto."
,,"habitacion","La puerta cede ante la presión de la llave girando, revelando el interior de la habitación. Senecio, con el corazón latiendo rápido, empuja la puerta con suavidad."
,,"habitacion","La puerta cede ante la presión de la llave girando, revelando el interior de la habitación. Senecio, con el corazón latiendo rápido, empuja la puerta con suavidad."
,,"habitacion","Y aún sabiendo que ella no estaría allí, un profundo desazon le inunda al ver la estancia vacía, confirmandolo."
,,"salita","La luz del atardecer se filtra por las cortinas entreabiertas, pintando un cuadro cálido en las paredes."
"senecio",,"salita","*Senecio suspira* Al menos el espacio es muy agradable..."
,,"salita","Senecio explora las diferencias estancias de la acogedora salita"
,,"salita","La habitación consta de tres dormitorios, cada uno con su propio encanto."
,,"bano","El baño, a un lado de la habitación, está equipado con comodidades modernas. Azulejos brillantes y espejos bien iluminados dan al espacio un aspecto limpio y acogedor."
,,"salita","Senecio vuelve a la Salita y se sienta en uno de los sofás, comprobando su comodidad"
"senecio",,"salita","Creo que desharé el equipaje y me serviré una copa de whiskey... tampoco hay mucho que hacer aquí."
